**Lectures (in-person)**, Tuesdays and Thursdays, 11.10 AM - 12.25 PM, Talbert 107
**Lectures (online/live)**, Tuesdays and Thursdays, 11.10 AM - 12.25 PM, Online (`UB Panopto<https://ub.hosted.panopto.com/Panopto/Pages/Sessions/List.aspx?folderID=72852644-b5ff-467d-b268-ac190005e25e>`_/`zoom <https://buffalo.zoom.us/j/97606011042>`_) 
**Lectures (recorded)**, , , Online (`UB Panopto <https://ub.hosted.panopto.com/Panopto/Pages/Sessions/List.aspx?folderID=72852644-b5ff-467d-b268-ac190005e25e>`_) 
**Office Hours**, Wednesdays, 12.00 PM - 2.00 PM, Online (`zoom <https://buffalo.zoom.us/j/485367376>`_)
